Marque,Modèle,year,road,boite,horsepower,fuel,nbre_portes,cylindrée,transmission,Prix
Peugeot,Partner,2014,220 000 km,Manuelle,5 cv,Diesel,,,Traction,37
Mercedes-Benz,Classe E AMG,2018,95 000 km,Automatique,9 cv,Essence,4,1499,Traction,155
Land,Rover Range Rover Evoque R-Dynamic,2016,150 000 km,Automatique,10 cv,Diesel,5,1111,Propulsion,122
Mercedes-Benz,Classe C AMG,2019,135 000 km,Automatique,8 cv,Essence,5,999,Traction,161
BMW,Série 4 Gran Coupé,2019,90 000 km,Automatique,7 cv,Essence,4,1968,Traction,145
Mercedes-Benz,GLA AMG,2023,20 000 km,Automatique,7 cv,Essence,4,1500,Traction,189
Mercedes-Benz,Classe C coupé AMG,2019,86 000 km,Automatique,10 cv,Hybride,5,1200,Traction,178
Land,Rover Range Rover Velar R-Dynamic,2020,55 000 km,Automatique,10 cv,Diesel,4,3000,Propulsion,258
Mercedes-Benz,Classe S S 350 phase 2,2010,165 000 km,Automatique,18 cv,Essence,5,1498,Traction,122
Hyundai,Kona Hybride N Line,2020,19 500 km,Automatique,6 cv,Hybride,5,1599,Intégrale,97
Audi,Q3,2019,110 000 km,Automatique,9 cv,Essence,4,1400,Propulsion,112
Porsche,Cayenne,2012,195 000 km,Automatique,21 cv,Essence,4,3000,Propulsion,152
MG,HS Trophy,2021,35 000 km,Automatique,15 cv,Essence,5,3000,Traction,103
Volkswagen,Golf 7 Join,2018,83 000 km,Manuelle,4 cv,Essence,2,1999,Propulsion,72
Mercedes-Benz,Classe S S350. Toit ouvrant,2009,147 000 km,Automatique,19 cv,Essence,5,1498,Traction,98
Mercedes-Benz,Classe C,2022,7 300 km,Automatique,9 cv,Essence,5,2799,Propulsion,230
KIA,Sportage SX,2022,37 000 km,Automatique,10 cv,Essence,5,3000,Intégrale,139
Mercedes-Benz,Classe C Classic,2019,125 000 km,Automatique,8 cv,Essence,4,1998,Propulsion,103
Volkswagen,Golf 7 GTI,2016,75 000 km,Automatique,13 cv,Essence,4,1798,Traction,102
Ssangyong,Tivoli Confort Plus,2016,127 000 km,Automatique,7 cv,Essence,4,2200,Traction,59
BMW,Série 3 318i Pack sport,2019,89 000 km,Automatique,7 cv,Essence,5,1499,Traction,89
Haval,H6 Luxury,2022,80 000 km,Automatique,8 cv,Essence,4,1600,Traction,98
Audi,A3 Berline BVA,2020,17 000 km,Manuelle,6 cv,Essence,5,1200,Traction,88
Jeep,Wrangler Sahara,2018,115 000 km,Automatique,20 cv,Essence,,,Traction,225
Peugeot,3008 Allure,2019,38 000 km,Automatique,7 cv,Essence,4,1498,Traction,88
Mercedes-Benz,Classe C Avantgarde,2022,27 000 km,Automatique,8 cv,Essence,4,1591,Traction,159
Peugeot,3008 Allure,2020,75 000 km,Automatique,6 cv,Essence,5,1998,Traction,75
BMW,X4,2018,140 000 km,Automatique,10 cv,Diesel,5,2925,Traction,139
Volkswagen,Polo R-Line,2020,70 000 km,Manuelle,4 cv,Essence,5,3000,Traction,65
Volkswagen,Golf 7 BVA,2020,200 000 km,Automatique,5 cv,Essence,5,1600,Traction,69
BMW,Série 1 Pack Sport M,2016,165 000 km,Automatique,7 cv,Essence,4,999,Traction,75
Hyundai,Tucson Top Grade,2022,40 000 km,Automatique,10 cv,Essence,5,1000,Intégrale,147
Lada,4x4 Urban,2020,58 000 km,Manuelle,7 cv,Essence,5,1190,Traction,41
Mercedes-Benz,Classe X,2020,68 000 km,Automatique,8 cv,Diesel,4,1389,Traction,205
Seat,Arona Xperience,2022,47 000 km,Automatique,6 cv,Essence,5,2996,Traction,81
Toyota,Corolla Dynamic,2020,85 000 km,Automatique,6 cv,Essence,4,2000,Traction,69
Fiat,500X Pop Star,2018,60 000 km,Automatique,7 cv,Essence,4,1497,Traction,65
Land,Rover Discovery,2015,170 000 km,Automatique,15 cv,Essence,4,1198,Traction,115
Haval,Jolion,2021,40 000 km,Automatique,9 cv,Essence,4,1600,Traction,88
Toyota,C-HR,2018,130 000 km,Automatique,6 cv,Essence,5,1199,Traction,73
Nissan,Juke Tekna,2024,6 000 km,Automatique,6 cv,Essence,4,999,Traction,92
