Marque,Modèle,road,year,boite,transmission,horsepower,fuel,Prix
Hyundai,Tucson,47 000 km,2022,Automatique,Traction,7 cv,Hybride,129 000
Fiat,500 Dolcevita,78 000 km,2021,Manuelle,Traction,4 cv,Hybride,55 000
Fiat,Tipo 5 portes,68 000 km,2021,Manuelle,Traction,5 cv,Essence,49 500
Renault,Clio,138 000 km,2020,Manuelle,Traction,4 cv,Diesel,49 500
Mercedes-Benz,Classe C,158 000 km,2015,Automatique,Traction,8 cv,Essence,99 000
Suzuki,Celerio,0 km,2024,Manuelle,Traction,4 cv,Essence,39 500
Volkswagen,Golf 7,153 000 km,2015,Manuelle,Traction,5 cv,Essence,48 500
Renault,Megane,148 000 km,2021,Manuelle,Traction,5 cv,Diesel,59 500
Peugeot,208 Style,128 000 km,2020,Manuelle,Traction,5 cv,Diesel,45 500
Audi,Q5 S-line,270 000 km,2014,Automatique,Traction,10 cv,Diesel,78 000
Citroën,C1 Importée Tn245,56 000 km,2021,Manuelle,Traction,4 cv,Essence,38 500
KIA,Sportage GT-Line,29 000 km,2023,Automatique,Traction,10 cv,Essence,138 000
Hyundai,Tucson,47 000 km,2022,Automatique,Traction,7 cv,Hybride,129 000
Fiat,500 Dolcevita,78 000 km,2021,Manuelle,Traction,4 cv,Hybride,55 000
Fiat,Tipo 5 portes,68 000 km,2021,Manuelle,Traction,5 cv,Essence,49 500
Renault,Clio,138 000 km,2020,Manuelle,Traction,4 cv,Diesel,49 500
Mercedes-Benz,Classe C,158 000 km,2015,Automatique,Traction,8 cv,Essence,99 000
Suzuki,Celerio,0 km,2024,Manuelle,Traction,4 cv,Essence,39 500
Volkswagen,Golf 7,153 000 km,2015,Manuelle,Traction,5 cv,Essence,48 500
Renault,Megane,148 000 km,2021,Manuelle,Traction,5 cv,Diesel,59 500
Peugeot,208 Style,128 000 km,2020,Manuelle,Traction,5 cv,Diesel,45 500
Audi,Q5 S-line,270 000 km,2014,Automatique,Traction,10 cv,Diesel,78 000
Citroën,C1 Importée Tn245,56 000 km,2021,Manuelle,Traction,4 cv,Essence,38 500
KIA,Sportage GT-Line,29 000 km,2023,Automatique,Traction,10 cv,Essence,138 000
Haval,H6 Luxury,138 000 km,2021,Automatique,Traction,9 cv,Essence,76 000
Peugeot,3008,148 000 km,2020,Automatique,Traction,6 cv,Diesel,79 000
Volkswagen,Amarok TDI 4*4,198 000 km,2012,Manuelle,Traction,7 cv,Diesel,57 000
Mercedes-Benz,CLA AMG,138 000 km,2020,Automatique,Traction,6 cv,Diesel,145 000
Mercedes-Benz,CLA Importée Tn245,138 000 km,2020,Automatique,Traction,6 cv,Diesel,118 000
Mercedes-Benz,CLA,87 000 km,2021,Automatique,Traction,8 cv,Essence,149 000
Volkswagen,Golf 8 STYLE 1.5 BVA eTSI importée,87 000 km,2021,Automatique,Traction,8 cv,Essence,110 000
KIA,Sportage GT-Line,119 000 km,2019,Automatique,Traction,7 cv,Diesel,98 000
Ford,Ecosport Titanium,67 000 km,2022,Manuelle,Traction,7 cv,Essence,69 000
Renault,Megane Sedan,136 000 km,2019,Manuelle,Traction,7 cv,Essence,48 500
Seat,Arona Référence,112 000 km,2020,Manuelle,Intégrale,5 cv,Essence,65 000
Peugeot,308 Allure,170 000 km,2022,Automatique,Intégrale,7 cv,Diesel,85 000
Seat,Arona Xcellence,71 000 km,2019,Manuelle,Intégrale,5 cv,Essence,80 000
Citroën,C-Elysée,92 000 km,2018,Manuelle,Traction,5 cv,Essence,28 000
Peugeot,Partner,87 261 km,2020,Manuelle,Propulsion,5 cv,Diesel,59 000
Citroën,Berlingo,73 262 km,2020,Manuelle,Traction,7 cv,Diesel,89 000
Mercedes-Benz,Classe C AMG,32 178 km,2022,Automatique,Intégrale,11 cv,Hybride,225 000
Audi,A5 Sportback S-Line,34 502 km,2021,Automatique,Traction,8 cv,Essence,210 000
Chevrolet,Sonic 4p,84 318 km,2019,Manuelle,Traction,5 cv,Essence,45 000
Mercedes-Benz,Classe A MERCEDES A45,72 290 km,2016,Automatique,Traction,26 cv,Essence,175 000
Audi,Q3 S-line,77 986 km,2021,Automatique,Propulsion,8 cv,Hybride,175 000
Volkswagen,Golf 8 R-Line,2 395 km,2023,Automatique,Traction,7 cv,Essence,155 000
Volkswagen,Golf 8 GTE,5 496 km,2024,Automatique,Intégrale,8 cv,Hybride,170 000
Mercedes-Benz,CLA AMG,75 356 km,2020,Automatique,Intégrale,6 cv,Hybride,150 000
Hyundai,Tucson HYNDAI TUCSON,82 648 km,2020,Automatique,Propulsion,7 cv,Hybride,120 000
Mercedes-Benz,Classe C AMG,63 139 km,2019,Automatique,Propulsion,10 cv,Hybride,165 000
Peugeot,Partner K9,144 790 km,2019,Manuelle,Propulsion,5 cv,Diesel,55 000
Land,Rover Range Rover Evoque DYNAMIC,82 809 km,2016,Automatique,Intégrale,10 cv,Diesel,152 000
Nissan,100 NX TOWNSTAR,14 924 km,2023,Manuelle,Traction,6 cv,Essence,63 000
Mercedes-Benz,GLC Coupé AMG,26 997 km,2023,Automatique,Intégrale,12 cv,Hybride,365 000
Mercedes-Benz,Classe C Avantgarde,159 000 km,2012,Automatique,Propulsion,9 cv,Essence,74 000
Volkswagen,Golf 7 Join,120 000 km,2020,Automatique,Traction,6 cv,Essence,76 500
BMW,X2 Lounge,0 km,2024,Automatique,Traction,8 cv,Essence,199 000
Land,Rover Range Rover Evoque R-Dynamic,59 000 km,2021,Automatique,Intégrale,8 cv,Diesel,169 000
Volkswagen,Golf 8 R-Line,12 000 km,2022,Manuelle,Traction,8 cv,Hybride,110 000
Mercedes-Benz,GLA AMG,30 000 km,2018,Automatique,Traction,7 cv,Essence,122 000
Mercedes-Benz,GLC Coupé AMG,50 000 km,2021,Automatique,Intégrale,12 cv,Hybride,259 000
Mercedes-Benz,Classe C AMG +,60 000 km,2021,Automatique,Intégrale,10 cv,Hybride,174 000
Volkswagen,T-roc 1.5,9 000 km,2024,Automatique,Traction,8 cv,Hybride,155 000
Mercedes-Benz,Classe C AMG,32 000 km,2022,Automatique,Propulsion,12 cv,Hybride,197 000
Land,Rover Range Rover Evoque R-Dynamic S,59 000 km,2021,Automatique,Intégrale,16 cv,Hybride,218 000
Volkswagen,Golf 8,40 000 km,2020,Automatique,Propulsion,8 cv,Hybride,115 000
Mercedes-Benz,Classe C AMG +,11 000 km,2024,Automatique,Propulsion,9 cv,Hybride,248 000
Suzuki,Jimny,60 000 km,2021,Automatique,Intégrale,6 cv,Essence,89 500
Mercedes-Benz,Classe E coupé AMG,180 000 km,2010,Automatique,Traction,19 cv,Essence,68 000
