Marque,Modèle,year,road,boite,horsepower,fuel,nbre_portes,cylindrée,transmission,Prix
Mercedes-Benz,Classe E,2024,0 km,Automatique,10 cv,Essence,4,1400,Intégrale,430 000
Peugeot,2008,2014,162 000 km,Manuelle,5 cv,Essence,4,2398,Traction,36 000
Mazda,6,2013,256 000 km,Automatique,9 cv,Essence,5,999,Traction,33 000
Ford,Ecosport Titanium,2022,60 000 km,Manuelle,7 cv,Essence,5,1497,Traction,68 000
Toyota,C-HR Sport,2020,162 000 km,Automatique,6 cv,Essence,4,1999,Traction,73 000
Mercedes-Benz,Classe C coupé AMG,2012,168 000 km,Automatique,9 cv,Essence,4,1200,Propulsion,77 000
KIA,Picanto GT-Line,2018,109 000 km,Automatique,5 cv,Essence,4,1499,Traction,39 900
Audi,A3 Sportback S-Line,2023,14 000 km,Automatique,6 cv,Essence,5,1600,Traction,127 000
Audi,A3 Sportback Sportback,2018,210 000 km,Manuelle,6 cv,Essence,5,1400,Traction,69 000
Mercedes-Benz,Classe C,2013,235 000 km,Manuelle,9 cv,Essence,4,5000,Traction,55 500
Audi,Q5 2.0L,2009,255 000 km,Automatique,13 cv,Essence,4,3000,Traction,47 000
Volkswagen,Golf 8,2023,40 000 km,Automatique,8 cv,Essence,5,6500,Traction,139 000
Mercedes-Benz,Classe C AMG,2014,164 000 km,Automatique,9 cv,Essence,5,1199,Traction,89 000
Mercedes-Benz,Classe E 1.6L,2017,132 000 km,Automatique,9 cv,Essence,4,1500,Traction,138 000
Jeep,Wrangler 4.0L,1989,200 000 km,Manuelle,8 cv,Essence,4,1600,Traction,72 000
Seat,Leon Xcellence,2023,37 000 km,Automatique,7 cv,Essence,5,1000,Traction,108 000
Peugeot,3008 1.2L,2020,70 000 km,Automatique,6 cv,Essence,5,1598,Traction,89 000
Skoda,Fabia 1.6L,2018,137 000 km,Manuelle,5 cv,Essence,4,1498,Traction,43 000
Ford,Fusion 1.6,2017,90 000 km,Manuelle,9 cv,Essence,,,Traction,55 500
Nissan,Juke,2015,160 000 km,Automatique,7 cv,Essence,4,3000,Traction,39 500
BMW,Série 5 520,2014,182 000 km,Automatique,9 cv,Essence,5,3600,Traction,75 000
Volkswagen,Golf 8 1.5L,2021,80 000 km,Manuelle,7 cv,Essence,4,999,Traction,93 000
BMW,X1 1.6L,2016,126 000 km,Automatique,7 cv,Essence,4,2000,Traction,85 000
BMW,X2 S drive,2020,74 000 km,Automatique,8 cv,Essence,,,Traction,132 000
Citroën,Berlingo Utilitaire 1.6L,2023,31 000 km,Manuelle,5 cv,Diesel,5,2000,Traction,58 500
BMW,Série 1 M,2022,40 000 km,Automatique,7 cv,Essence,5,1000,Traction,138 500
Audi,A3 Sportback 1.2L,2019,125 000 km,Manuelle,6 cv,Essence,4,1200,Traction,78 500
Ford,Focus,2016,149 000 km,Manuelle,5 cv,Essence,5,1998,Traction,36 500
Mercedes-Benz,GLC Plug-in Hybride AMG,2021,46 000 km,Automatique,10 cv,Hybride,5,1600,Traction,285 000
Hyundai,Tucson N Line,2021,115 000 km,Automatique,7 cv,Hybride,5,1050,Traction,117 000
Volkswagen,Golf 7 Join,2019,96 000 km,Manuelle,6 cv,Essence,4,2000,Traction,73 500
Volkswagen,Golf 7 Importé,2020,40 000 km,Manuelle,6 cv,Essence,4,1998,Traction,73 500
Peugeot,Partner,2014,220 000 km,Manuelle,5 cv,Diesel,4,1995,Traction,37 200
Mercedes-Benz,Classe E AMG,2018,95 000 km,Automatique,9 cv,Essence,5,2199,Traction,155 000
Land,Rover Range Rover Evoque R-Dynamic,2016,150 000 km,Automatique,10 cv,Diesel,4,1000,Propulsion,122 000
Mercedes-Benz,Classe C AMG,2019,135 000 km,Automatique,8 cv,Essence,4,2198,Traction,Sous leasing                    161 300
BMW,Série 4 Gran Coupé,2019,90 000 km,Automatique,7 cv,Essence,5,1998,Traction,145 000
Mercedes-Benz,GLA AMG,2023,20 000 km,Automatique,7 cv,Essence,4,3000,Traction,189 000
Mercedes-Benz,Classe C coupé AMG,2019,86 000 km,Automatique,10 cv,Hybride,5,1496,Traction,178 000
Land,Rover Range Rover Velar R-Dynamic,2020,55 000 km,Automatique,10 cv,Diesel,5,1498,Propulsion,258 000
Mercedes-Benz,Classe S S 350 phase 2,2010,165 000 km,Automatique,18 cv,Essence,5,1995,Traction,122 000
Hyundai,Kona Hybride N Line,2020,19 500 km,Automatique,6 cv,Hybride,4,1598,Intégrale,97 500
Audi,Q3,2019,110 000 km,Automatique,9 cv,Essence,4,1300,Propulsion,112 000
Porsche,Cayenne,2012,195 000 km,Automatique,21 cv,Essence,4,1598,Propulsion,152 000
MG,HS Trophy,2021,35 000 km,Automatique,15 cv,Essence,4,1798,Traction,103 000
Volkswagen,Golf 7 Join,2018,83 000 km,Manuelle,4 cv,Essence,5,1998,Propulsion,72 000
Mercedes-Benz,Classe S S350. Toit ouvrant,2009,147 000 km,Automatique,19 cv,Essence,5,1599,Traction,98 000
Mercedes-Benz,Classe C,2022,7 300 km,Automatique,9 cv,Essence,4,1600,Propulsion,230 000
KIA,Sportage SX,2022,37 000 km,Automatique,10 cv,Essence,5,2993,Intégrale,139 000
Mercedes-Benz,Classe C Classic,2019,125 000 km,Automatique,8 cv,Essence,4,2998,Propulsion,103 000
Volkswagen,Golf 7 GTI,2016,75 000 km,Automatique,13 cv,Essence,5,1796,Traction,102 000
Ssangyong,Tivoli Confort Plus,2016,127 000 km,Automatique,7 cv,Essence,5,4198,Traction,59 000
BMW,Série 3 318i Pack sport,2019,89 000 km,Automatique,7 cv,Essence,5,3604,Traction,89 000
Haval,H6 Luxury,2022,80 000 km,Automatique,8 cv,Essence,5,998,Traction,98 000
Audi,A3 Berline BVA,2020,17 000 km,Manuelle,6 cv,Essence,5,1199,Traction,88 000
Jeep,Wrangler Sahara,2018,115 000 km,Automatique,20 cv,Essence,5,3956,Traction,225 000
Peugeot,3008 Allure,2019,38 000 km,Automatique,7 cv,Essence,5,1600,Traction,88 000
Mercedes-Benz,Classe C Avantgarde,2022,27 000 km,Automatique,8 cv,Essence,4,999,Traction,159 000
Peugeot,3008 Allure,2020,75 000 km,Automatique,6 cv,Essence,5,1599,Traction,75 000
BMW,X4,2018,140 000 km,Automatique,10 cv,Diesel,5,1498,Traction,139 000
Volkswagen,Polo R-Line,2020,70 000 km,Manuelle,4 cv,Essence,5,1353,Traction,65 500
