Brand,Model,Price,0-100 Km/h,4 roues directrices,ABS,Accoudoirs,Affichage tête haute,Aide au démarrage en côte,Aide au maintien dans la voie,Aide au stationnement,Aileron arrière,Airbags,Alarme antivol,Alerte de circulation transversale,Alerte de franchissement de ligne,Alimentation électrique,Allumage automatique des feux,Anti-démarrage électronique,Anti-patinage,Antibrouillards,Appuis têtes arrières,Arceau de benne,Assistance au freinage,Assistant de feux de route,Autonomie électrique (NEDC),Autonomie électrique (WLTP),Autoradio,Baguettes extérieures d'encadrement des vitres,Barre stabilisatrice,Barres de toit,Batterie,Boule d'attelage,Boulons de roues protégés,Bouton Start & Stop,Boîte,Boîte à gants réfrigérée,Calandre,Caméra d'angle mort,Capot moteur actif,Carrosserie,Carte mains libres,Charge utile,Ciel de pavillon,Climatisation,Cloison entre cabine et compartiment arrière,Clé intelligente,Coffre à bagages,Conduite autonome,Connectivité,Consommation extra-urbaine,Consommation mixte,Consommation urbaine,Consommation électrique (WLTP),Contrôle adaptatif de la charge,Contrôle de pression des pneus,Contrôle de stabilité anti-retournement,Contrôle du roulis de la remorque,Couple,Couple électrique,Cylindrée,DSC,Différentiel autobloquant,Direction assistée,Disponibilité,Dynamic Response,Détecteur de fatigue,Détecteur de pluie,Détection des piétons,Ecran central,Eléments extérieurs couleur carrosserie,Emissions de CO2,Energie,Fermeture assistée des portes,Fermeture centralisée,Feux à LED,Finition intérieure,Fixations ISOFIX,Frein de stationnement,Freinage,Garantie,Hauteur,Instrumentation digitale,Jantes,Kit carrosserie,Kit fumeurs,Kit rangement,Kit sécurité,Kit éclairage,Largeur,Lave Phares,Limiteur de vitesse,Longueur,Lumières d'ambiance,Marchepieds latéraux,Modes de conduite,Navigation,Nombre de cylindres,Nombre de moteurs électriques,Nombre de places,Nombre de portes,Nombre de rapports,Ordinateur de bord,Pack Sport Chrono,Pack aérodynamique M,Peinture,Phares,Pneumatiques runflat,Poignées de portes,Pommeau de levier de vitesse,Porte bagages,Préparation pour téléphone,Puissance (ch.din),Puissance avec overboost (ch.din),Puissance fiscale,Puissance thermique (ch.din),Puissance électrique,Pédaliers,Reconnaissance des panneaux,Rideau de benne,Régulateur de vitesse,Rétroviseur intérieur,Rétroviseurs extérieurs,Sellerie,Seuils de portes,Sièges,Sièges réglables en hauteur,Sorties d’échappement,Spoiler arrière,Stores pare-soleil,Surface de chargement,Surveillance d’angle mort,Suspension,Système Start & Stop,Système de descente en côte,Système de récupération d'énergie,Tableau de bord,Tapis de sol,Temps de recharge normale,Temps de recharge rapide,Terrain Response,Toit,Train roulant,Transmission,Version pays chauds,Vitesse maxi,Vitres,Vitres électriques,Voiture populaire,Volant,Volant réglable,Volume du coffre,Volume du coffre avant,Volume du coffre maximal,Volume utile
alfa-romeo,giulia 2.0-turbo-bva-super,198 000DTTTC,6.6s,,,Avant | Arrière,,,,Radar de recul | Radar avant,,Frontaux | Latéraux | Rideaux,,,,,,,ESP | ASR,,3,,Active City Brake | AFU | EBD,,,,8 haut-parleurs | Commandes au volant,,,,,,,Démarrage mains libres,Automatique,,,,,Berline,,,,Automatique | Bizone,,,,,2 USB | AUX | Bluetooth,4.6L/100 km,5.9L/100 km,8.4L/100 km,,,,,,330nm1750tr/min,,1995CM³,,,,Indisponible,,,,,7 pouces,,,Essence,,À distance,Avant | Arrières,Bois,,,,3 ans,1436mm,,En aluminium | 17'',,,,,,1860mm,,,4643mm,,,,,4,,5,4,8,,,,,Bi-xénon,,,Cuir,,,200CH,,11CV,,,,,,Adaptatif,Anti-éblouissement,Électriques | Rabattables | Dégivrants,Cuir,,Électriques | Fonction mémoire,Conducteur et passager,,,,,,,,,,,,,,,,,Propulsion,,235KM/H,Lunette et vitres arrières sur-teintées,Avant/Arrière,,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,480L,,,
alfa-romeo,stelvio 2.0-turbo-q4-bva,265 000DTTTC,5.7s,,,Avant | Arrière,,,,Radar de recul | Radar avant | Caméra de recul,,Frontaux | Latéraux | Rideaux,,,,,,,ESP | ASR,,3,,AFU | Active City Brake | EBD | Système anti-collision avec détection des piétons,,,,8 haut-parleurs | Commandes au volant,,,,,,,Démarrage mains libres,Automatique,,,,,SUV,,,,Automatique | Bizone,,Accès mains libres,,,USB | AUX | Bluetooth,5.9L/100 km,7L/100 km,8.9L/100 km,,,,,,400nm2250tr/min,,1995CM³,,,,Disponible,,,,,Tactile | 6.5 pouces,,,Essence,,À distance,Feux de jour | Avant | Arrières,Bois,,,,3 ans,1671mm,,En aluminium | 20'',,,,,,1903mm,,,4687mm,,,,Cartographie Tunisienne,4,,5,5,8,,,,,Xénon | Bi-xénon,,,,,,280CH,,17CV,,,,,,Cruise control,,Électriques | Rabattables | Dégivrants | Éclairage d'accueil à LED,Cuir,,Électriques |  Conducteur à réglage électrique | 8 directions | Chauffants | Réglage lombaire | Fonction mémoire,Conducteur et passager,Chromées,,,,,,,HDC,,,,,,,Ouvrant | Panoramique | + 7000 DT,,Intégrale,,230KM/H,,Avant/Arrière,,Cuir | Chauffant | Multi-fonctions | Avec palettes,En hauteur et en profondeur,525L,,,
audi,a3-sportback 35-tfsi-advanced-line,145 000DTTTC,8.4s,,,Avant,,,,Système de caméras 360 | Parkassist | Audi Parking System Plus,,Frontaux | Latéraux | Protège-tête,,,,,,,ESP,,,,,,,,MMI Radio Plus | Commandes au volant,Noir Mat,,,,,,Démarrage mains libres,Automatique,,,,,Compacte,,,,Automatique | Bizone,,Accès mains libres,,,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,4.8L/100 km,5.4L/100 km,6.3L/100 km,,,,,,250nm1500tr/min,,1395CM³,,,,Disponible,,,,,Tactile | 10.1 pouces,,,Essence,,À distance,Feux de jour | Avant,Style aluminium,,Éléctrique,,3 ans,1450mm,10.25'' | Digital Cockpit,En aluminium | 17'',,,,Triangle de présignalisation | Trousse de premiers secours,,1820mm,,,4340mm,LED,,,,4,,5,5,8,,,,Métallisée,LED,,,,,,150CH,,8CV,,,,,,,Anti-éblouissement  | Sans Cadre,Électriques | Rabattables | Dégivrants | Photosensibles | Avec clignotants intégrés,Tissu,Aluminium,,Conducteur et passager,,,,,,,,,,,,,,,,,Traction,,224KM/H,Parebrise athermique,Avant/Arrière,,Cuir | 3 branches | Multi-fonctions | Avec palettes,En hauteur et en profondeur,380L,,,
audi,a3-berline 35-tfsi-business-extended,149 000DTTTC,8.5s,,,Avant,,,,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,,Frontaux | Latéraux | Protège-tête,,,,1 prise 12 V,,,ESP,,,,,,,,MMI Radio Plus | Commandes au volant,Pack brillance,,,,,,Démarrage mains libres,Automatique,,,,,Berline,,,,Automatique | Bizone,,Accès mains libres,,,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,4.8L/100 km,5.4L/100 km,6.3L/100 km,,,,,,250nm1500tr/min,,1395CM³,,,,Disponible,,,,,Tactile | 10.1 pouces,,,Essence,,À distance,Feux de jour | Avant | Arrières | Clignotants à défilement,Style aluminium | Inserts décoratifs en Gris Platine,,Éléctrique,,3 ans,1420mm,10.25'' | Digital Cockpit,En aluminium | 17'',,,,Triangle de présignalisation,,1820mm,,,4490mm,LED,,,,4,,5,4,8,,,,,Full LED,,,,,,150CH,,8CV,,,,,,,Anti-éblouissement  | Sans Cadre,Électriques | Rabattables | Dégivrants | Photosensibles | Avec clignotants intégrés,Tissu,,,Conducteur et passager,,,,,,,,,,,,,,,,,Traction,,215KM/H,Parebrise athermique,Avant/Arrière,,Cuir | 3 branches | Multi-fonctions | Avec palettes,En hauteur et en profondeur,425L,,,
audi,a6 40-tfsi-s-tronic-s-line-2023,295 000DTTTC,8.3s,,,Avant | Arrière,,,,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,,Frontaux | Latéraux | Rideaux,,,,,,,ESP,,,,AFU,,,,10 haut-parleurs | MMI Radio Plus | Commandes au volant | 180 watts | Subwoofer,Chrome,,,,,,,Automatique,,,,,Berline,,,,Automatique | Bizone,,Accès mains libres,Ouverture et fermeture motorisée | Ouverture mains libres,,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil | Audi smartphone interface,5.7L/100 km,6.8L/100 km,8.7L/100 km,,,,,,320nm1450tr/min,,1984CM³,,,Progressive,Sur commande,,,,,,,,Essence | Hybride léger,,À distance,Arrières | Clignotants à défilement,Alu Fragment,,,,3 ans,1457mm,Audi Virtual Cockpit | 12.3'',En aluminium | 19'',S-line,,,Triangle de présignalisation | Trousse de premiers secours,,1886mm,,,4939mm,LED,,Audi Drive Select,,4,,5,4,7,,,,,Full LED | Audi Digital Matrix LED HD,,,,,,190CH,,11CV,,,,,,,Anti-éblouissement  | Sans Cadre,Électriques | Rabattables | Dégivrants | Mémoire de position,Cuir | Similicuir,Aluminium | S-line,Électriques | Réglage lombaire | Fonction mémoire,,,,Pour vitres de portes arrières | Pour lunette arrière,,,,,,,Similicuir,,,,,,,Traction,,230KM/H,Parebrise athermique | Lunette et vitres arrières sur-teintées,Avant/Arrière,,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,530L,,,
audi,q2 35-tfsi-s-tronic-s-line-2023,159 000DTTTC,8.6s,,,Avant,,,,Radar de recul | Radar avant | Caméra de recul,,Frontaux | Latéraux | Protège-tête,,,,,,,ESP,,,,,,,,10 haut-parleurs | MMI Radio Plus | MMI Touch | Commandes au volant | Système Audio Audi (180W),,,,,,,Démarrage mains libres,Automatique,,,,,SUV,,,,Automatique,,Accès mains libres,Ouverture et fermeture motorisée,,Android Auto | Apple Carplay | Bluetooth | 2 fentes pour carte SD,5.8L/100 km,6L/100 km,6.9L/100 km,,,,,,250nm1500tr/min,,1498CM³,,,Progressive,45 jours,,,,,8.3 pouces,,,Essence,,À distance,Avant | Arrières | Clignotants à défilement,Style aluminium | Applications décoratives laquées argent,,,,3 ans,1508mm,Audi Virtual Cockpit | 12.3'',En aluminium | 17'',S-line,,,Triangle de présignalisation,,1794mm,,,4191mm,LED,,,,4,,5,5,8,,,,,LED,,,,,,150CH,,8CV,,,,,,,Anti-éblouissement  | Sans Cadre,Électriques | Rabattables | Dégivrants | Photosensibles,Tissu,Aluminium | Eclairés | S-line,Sport,Conducteur et passager,,,,,,,,,,,,,,,Ouvrant | En verre,,Traction,,218KM/H,Lunette et vitres arrières sur-teintées,Avant/Arrière,,Cuir | 3 branches | Multi-fonctions | à méplat,En hauteur et en profondeur,405L,,,
audi,q3 35-tfsi-s-tronic-advanced-line,205 000DTTTC,9.4s,,,Avant | Arrière,,Audi hold assist,,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,,Frontaux | Latéraux | Protège-tête,,,,,,,ESP,,,,,,,,10 haut-parleurs | MMI Radio Plus | MMI Touch | Commandes au volant | Système Audio Audi (180W),Pack brillance,,Aluminium,,,,Démarrage mains libres,Automatique,,,,,SUV,,,,Automatique | Bizone,,,Ouverture et fermeture motorisée,,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil | Audi smartphone interface,5.1L/100 km,5.7L/100 km,6.9L/100 km,,,,,,250nm1500tr/min,,1498CM³,,,Progressive,Sur arrivage,,,,,Tactile | 8.8'',Pare-chocs | Poignées de portes | Rétroviseurs,129g/km,Essence,,À distance,Feux de jour | Avant | Arrières,Aluminium brossé | Argent micrométallique,,Éléctrique,,3 ans,1576mm,10.25'',En aluminium | 17'' | 5 branches,Advanced,,,Triangle de présignalisation,,1843mm,,,4500mm,,,,,4,,5,5,6,,,,Métallisée,LED,,,Cuir,,,150CH,,9CV,,,,,,,Anti-éblouissement  | Sans Cadre,Électriques | Rabattables | Dégivrants,Tissu,Aluminium,Électriques | Réglage lombaire | Banquette arrière coulissante,Conducteur et passager,,,,,,,,,,,,,,,,,Traction,,205KM/H,Parebrise athermique | Acoustiques,Avant/Arrière,,Cuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,530L,,,
audi,q3-sportback 35-tfsi-s-tronic-business-limited,235 000DTTTC,9.4s,,,Avant,,Audi hold assist,,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,,Frontaux | Latéraux | Protège-tête,,,,1 prise 12 V,,,ESP,,,,,,,,10 haut-parleurs | MMI Radio Plus | Commandes au volant | Système Audio Audi (180W),Noir Brillant,,,,,,Démarrage mains libres,Automatique,,Noire,,,SUV,,,Noir | Tissu,Automatique | Bizone,,Accès mains libres,Ouverture et fermeture motorisée,,2 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,5.1L/100 km,5.8L/100 km,6.9L/100 km,,,,,,250nm1500tr/min,,1498CM³,,,Progressive,Disponible,,,,,Tactile | 8.8'',,129g/km,Essence,,À distance,Feux de jour | Avant | Arrières | Clignotants à défilement,Aluminium brossé | Argent micrométallique,,,,3 ans,1576mm,10.25'',En aluminium | 18'',,,,Triangle de présignalisation,,1843mm,,,4500mm,30 Couleurs,,Audi Drive Select,,4,,5,5,6,,,,Métallisée,LED,,,Cuir,,,150CH,,9CV,,,,,,,Anti-éblouissement  | Sans Cadre,Électriques | Rabattables | Dégivrants,Cuir/similicuir,,Électriques | Réglage lombaire,Conducteur et passager,,,,,,,,,,,,,,,Ouvrant | Panoramique,,Traction,,205KM/H,Parebrise athermique | Acoustiques,Avant/Arrière,,Cuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,530L,,,
audi,q7 2.0-l-tfsi-quattro-bva-s-line-7-places-2021,445 000DTTTC,6.3s,,,Avant | Arrière,,Audi hold assist,,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360 | Audi Parking System Plus,,Frontaux | Latéraux | Protège-tête,,,,,,,ESP,,3,,,,,,17 haut-parleurs | Haut-parleurs Bang & Olufsen | MMI Navigation Plus | Commandes au volant | 730 watts,Chrome | Pack brillance,,Aluminium,,,,Démarrage mains libres,Automatique,,,,,SUV,,,Noir,Automatique | 4 zones,,Accès mains libres,Ouverture et fermeture motorisée | Cache Bagages,,USB | Android Auto | Apple Carplay | Audi Music Interface | Bluetooth,5.2L/100 km,6L/100 km,7.4L/100 km,,,,,,370nm1600tr/min,,1984CM³,,,Dynamique,Sur commande,,,,,Tactile | 10.25 pouces,,,Essence,Soft close,À distance,Feux de jour | Avant | Arrières,Aluminium brossé,,,,3 ans,1741mm,Audi Virtual Cockpit | 12.3'',En aluminium | 20'' | 5 branches,S-line,,,Triangle de présignalisation,,1970mm,,,5063mm,LED | 30 Couleurs,,Audi Drive Select,,4,,7,5,8,,,,Métallisée,Full LED | Audi Matrix LED,,,Cuir,,,252CH,,16CV,,,,,,,Anti-éblouissement  | Sans Cadre,Électriques | Rabattables | Dégivrants | Photosensibles | Avec clignotants intégrés,Cuir | Valcona,Aluminium | Eclairés,Électriques | Réglage lombaire | Fonction mémoire | Sport,Conducteur et passager,,,,,,Adaptive air suspension,,,,,Velours,,,,Panoramique | En verre,,Intégrale,,250KM/H,Teintées | Parebrise athermique | Lunette et vitres arrières sur-teintées,Avant/Arrière,,Cuir | 3 branches | Multi-fonctions | Sport | à méplat | Avec palettes,En hauteur et en profondeur,770L,,,
audi,q8-e-tron 55-e-quattro-advanced-line,299 000DTTTC,5.6s,,,Avant | Arrière,,,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,,Frontaux | Latéraux | Rideaux,,,,1 prise 12 V,,,,,,,,,,582km,Haut-parleurs Bang & Olufsen | MMI Navigation Plus | 16 haut-parleurs,Pack brillance,,Aluminium,114kWh,,,Démarrage mains libres,Automatique,,,,,SUV,,,Noir | Tissu,Automatique | 4 zones,,Accès mains libres,Ouverture et fermeture motorisée | Cache Bagages,,USB | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,,,,22.3kWh/100 km,,,,,664nm0tr/min,,,,,Progressive,Disponible,,,,,10.1 pouces | Tactile avec retour haptique,,,Electrique,Soft close,À distance,Feux de jour | Avant | Arrières | Clignotants à défilement,Style aluminium | Inserts décoratifs en frêne Gris Volcan Naturel,,Éléctrique,,3 ans,1619mm,Audi Virtual Cockpit | 12.3'',En aluminium | 21'',Advanced,,,Triangle de présignalisation | Trousse de premiers secours,,1937mm,,,4915mm,LED | 30 Couleurs,,,,,2,5,5,,,,,,Audi Matrix LED,,,,,,408CH,,12CV,,,,,,,Anti-éblouissement  | Sans Cadre,Électriques | Rabattables | Dégivrants | Photosensibles | Mémoire de position,Cuir/similicuir,Aluminium | Eclairés,Électriques | Réglage lombaire | Fonction mémoire,Conducteur et passager,,,,,,Adaptive air suspension,,,,Similicuir,,11.5heures,31minutes,,Panoramique | En verre,,Intégrale,,200KM/H,Parebrise athermique | Lunette et vitres arrières sur-teintées | Acoustiques,Avant/Arrière,,Cuir | 3 branches | Multi-fonctions | Avec palettes,En hauteur et en profondeur,569L,,,
